a,b,reltype
Q485574,Q2947463,spouse
Q485578,Q7219738,child
Q485587,Q12583935,child
Q485587,Q12626230,child
Q485587,Q334312,father
Q485587,Q469387,sibling
Q485587,Q493659,sibling
Q485587,Q6732223,spouse
Q485587,Q699503,sibling
Q485587,Q699513,sibling
Q485604,Q257425,mother
Q485604,Q484866,sibling
Q485604,Q487728,sibling
Q485640,Q16090987,sibling
Q485640,Q23995055,mother
Q485640,Q55729811,mother
Q485829,Q28699036,spouse
Q485871,Q108193090,child
Q485894,Q12597217,spouse
Q485905,Q12589495,spouse
Q485911,Q6796230,spouse
Q486028,Q12598177,spouse
Q486074,Q112023176,sibling
Q486074,Q12611431,mother
Q486074,Q16091539,mother
Q486079,Q12607942,spouse
Q486134,Q16082002,spouse
Q486151,Q12589044,spouse
Q486151,Q16092070,sibling
Q486177,Q134316129,spouse
Q486180,Q12588854,spouse
Q486241,Q12616878,child
Q486241,Q28415860,child
Q486251,Q14304,father
Q486251,Q6853912,father
Q486262,Q12612620,grandfather
Q486273,Q483010,father
Q486331,Q487293,father
Q486369,Q5103979,child
Q486374,Q12586907,child
Q486374,Q12607934,father
Q486374,Q12612531,spouse
Q486374,Q484840,grandchild
Q486374,Q490001,father
Q486374,Q4934381,child
Q486416,Q4935832,sibling
Q486518,Q354638,spouse
Q486559,Q12611683,sibling
Q486569,Q15057674,sibling
Q486569,Q296734,father
Q486569,Q4307061,sibling
Q486569,Q4307062,sibling
Q486569,Q497174,father
Q486569,Q562683,sibling
Q486594,Q486995,sibling
Q486599,Q168567,father
Q486706,Q15971448,spouse
Q486714,Q3375326,sibling
Q486847,Q17346805,sibling
Q486959,Q57599081,sibling
Q486959,Q57599098,sibling
Q486995,Q486594,sibling
Q487020,Q4124884,spouse
Q487289,Q10665,spouse
Q487289,Q317824,child
Q487293,Q486331,child
Q487728,Q12610944,child
Q487728,Q12613069,child
Q487728,Q16179206,child
Q487728,Q257425,father
Q487728,Q334111,sibling
Q487728,Q482917,child
Q487728,Q484866,sibling
Q487728,Q485604,sibling
Q487728,Q489737,child
Q487728,Q491750,child
Q487876,Q107747135,spouse
Q487876,Q56236767,child
Q487885,Q113490152,child
Q487979,Q493090,spouse
Q488015,Q492997,spouse
Q488025,Q16091679,spouse
Q488038,Q493691,spouse
Q488093,Q484564,spouse
Q488106,Q66362758,sibling
Q488312,Q169144,child
Q488312,Q17401456,spouse
Q488446,Q130360428,child
Q488446,Q468467,father
Q488446,Q5116286,child
Q488500,Q488666,father
Q488500,Q488697,child
Q488500,Q497392,spouse
Q488500,Q497413,father
Q488500,Q8512697,sibling
Q488500,Q8512711,sibling
Q488600,Q16865202,spouse
Q488666,Q488500,child
Q488666,Q497413,spouse
Q488666,Q8512697,child
Q488666,Q8512711,child
Q488670,Q14304,sibling
Q488670,Q16180284,sibling
Q488670,Q3382230,sibling
Q488670,Q378483,father
Q488670,Q483467,sibling
Q488670,Q485556,sibling
Q488670,Q488700,sibling
Q488670,Q498707,sibling
Q488670,Q626461,sibling
Q488670,Q6743293,father
Q488670,Q6743293,mother
Q488697,Q488500,father
Q488697,Q497392,father
Q488697,Q497438,child
Q488697,Q497473,child
Q488697,Q626466,spouse
Q488697,Q8512750,child
Q488697,Q85984120,grandchild
Q488700,Q14304,sibling
Q488700,Q16180284,sibling
Q488700,Q3382230,sibling
Q488700,Q378483,father
Q488700,Q483467,sibling
Q488700,Q485556,sibling
Q488700,Q488670,sibling
Q488700,Q498707,sibling
Q488700,Q626461,sibling
Q488700,Q6743293,father
Q488700,Q6743293,mother
Q488742,Q24856176,spouse
Q488752,Q134367213,child
Q488752,Q134367214,child
Q488817,Q131316099,child
Q488866,Q27982975,spouse
Q489006,Q12587691,mother
Q489036,Q56825125,father
Q489036,Q58476561,sibling
Q489036,Q625870,spouse
Q489067,Q484399,spouse
Q489067,Q485078,spouse
Q489091,Q484856,spouse
Q489173,Q12601473,sibling
Q489279,Q1062006,child
Q489279,Q41117,child
Q489279,Q4991790,father
Q489290,Q2600733,spouse
Q489323,Q12616984,child
Q489323,Q16091888,child
Q489462,Q3703171,sibling
Q489462,Q625471,spouse
Q489475,Q483661,spouse
Q489575,Q485466,spouse
Q489667,Q12602743,sibling
Q489681,Q6853641,spouse
Q489737,Q487728,father
Q489737,Q8053456,child
Q489778,Q124739844,child
Q489867,Q105704925,child
Q489874,Q12617992,spouse
Q489934,Q16169960,spouse
Q489952,Q483953,spouse
Q490001,Q12607934,spouse
Q490001,Q16183879,spouse
Q490001,Q486374,child
Q490001,Q4934381,grandchild
Q490114,Q468467,father
Q490114,Q55734052,child
Q490120,Q493026,spouse
Q490130,Q12613036,spouse
Q490170,Q368852,spouse
Q490192,Q105706367,child
Q490192,Q79904342,spouse
Q490410,Q12618537,sibling
Q490410,Q1580046,father
Q490822,Q181993,spouse
Q490905,Q464574,sibling
Q490938,Q13646009,spouse
Q491013,Q493135,spouse
Q491079,Q28699529,mother
Q491095,Q6694102,spouse
Q491143,Q5103939,father
Q491143,Q6362185,father
Q491143,Q6362185,mother
Q491240,Q12610444,grandchild
Q491363,Q484960,father
Q491392,Q12972710,father
Q491392,Q496439,spouse
Q491397,Q483773,spouse
Q491419,Q232285,sibling
Q491482,Q3703167,spouse
Q491555,Q11285292,child
Q491580,Q9326975,spouse
Q491750,Q482917,sibling
Q491750,Q487728,father
Q492284,Q900563,spouse
Q492802,Q6515185,sibling
Q492997,Q488015,spouse
Q493021,Q22975111,sibling
Q493021,Q625766,spouse
Q493026,Q490120,spouse
Q493090,Q487979,spouse
Q493135,Q491013,spouse
Q493322,Q12608049,spouse
Q4934381,Q484840,child
Q4934381,Q486374,father
Q4934381,Q490001,grandfather
Q493455,Q6408371,spouse
Q4935832,Q486416,sibling
Q493597,Q497785,spouse
Q493659,Q334312,father
Q493659,Q469387,sibling
Q493659,Q485587,sibling
Q493659,Q6793594,spouse
Q493659,Q699503,sibling
Q493659,Q699513,sibling
Q493691,Q488038,spouse
Q493692,Q24859999,sibling
Q493692,Q469387,father
Q493692,Q6793625,sibling
Q493692,Q709498,spouse
Q493692,Q7219738,spouse
Q493752,Q13099645,sibling
Q493857,Q12586076,spouse
Q493891,Q482900,father
Q493893,Q12583609,child
Q493893,Q15732940,sibling
Q493893,Q493930,sibling
Q493901,Q16184169,spouse
Q493930,Q15732940,sibling
Q493930,Q493893,sibling
Q493930,Q493946,child
Q493946,Q12618654,child
Q493946,Q493930,father
Q493995,Q433295,spouse
Q493995,Q65296762,father
Q493995,Q65296920,child
Q494074,Q302096,child
Q494097,Q56884240,father
Q494144,Q27952670,sibling
Q494190,Q12614533,sibling
Q494190,Q16068617,mother
Q494222,Q16080243,spouse
Q494239,Q116694691,spouse
Q494290,Q12604156,child
Q494290,Q12604339,child
Q494290,Q12604506,child
Q494290,Q50973131,spouse
Q494334,Q1142231,sibling
Q494412,Q11266502,child
Q494412,Q12596616,father
Q494412,Q12611345,sibling
Q494412,Q12611389,sibling
Q494412,Q12611590,child
Q494412,Q12611701,child
Q494412,Q12612881,sibling
Q494412,Q12625359,spouse
Q494412,Q16181530,sibling
Q494412,Q445643,father
Q494412,Q624109,child
Q494662,Q130333064,child
Q494662,Q131309015,child
Q494851,Q57027438,father
Q494851,Q57027600,father
Q494856,Q496466,spouse
Q495000,Q6430820,mother
Q495069,Q56691163,sibling
Q495407,Q3724024,spouse
Q495480,Q1741525,child
Q495636,Q12587187,child
Q495636,Q12587539,sibling
Q495668,Q3776444,sibling
Q495748,Q16631014,child
Q495748,Q20010831,child
Q495748,Q449397,spouse
Q495980,Q97216379,father
Q496004,Q15937927,sibling
Q496004,Q271067,spouse
Q496004,Q5354467,sibling
Q496004,Q77554529,child
Q496004,Q77555945,child
Q496092,Q498243,sibling
Q496170,Q1195195,sibling
Q496205,Q16176119,child
Q496205,Q16262186,child
Q496237,Q625775,spouse
Q496310,Q482900,father
Q496356,Q468490,spouse
Q496384,Q380121,spouse
Q496413,Q623627,spouse
Q496421,Q484866,father
Q496421,Q51029,father
Q496439,Q491392,spouse
Q496466,Q494856,spouse
Q496491,Q27953283,father
Q496509,Q16091306,father
Q496509,Q21074800,sibling
Q496509,Q56804332,child
Q496509,Q56804591,spouse
Q496509,Q56804639,child
Q496509,Q56804778,father
Q496572,Q116467106,child
Q496572,Q116467107,child
Q496634,Q192049,grandchild
Q496634,Q3565110,child
Q496634,Q470047,child
Q496842,Q6783126,child
Q496868,Q272329,sibling
Q497174,Q296734,spouse
Q497174,Q4307062,child
Q497174,Q486569,child
Q497392,Q488500,spouse
Q497392,Q488697,child
Q497413,Q488500,child
Q497413,Q488666,spouse
Q497438,Q488697,father
Q497438,Q626466,mother
Q497473,Q378483,child
Q497473,Q488697,father
Q497473,Q626466,mother
Q497507,Q378483,child
Q497693,Q484197,spouse
Q497785,Q493597,spouse
Q498243,Q496092,sibling
Q498707,Q3382230,sibling
Q498707,Q378483,father
Q498707,Q483467,sibling
Q498707,Q485556,sibling
Q498707,Q488670,sibling
Q498707,Q488700,sibling
Q498707,Q626461,sibling
Q4991790,Q489279,child
Q50420882,Q484886,spouse
Q50973131,Q494290,spouse
Q51029,Q339595,father
Q51029,Q484866,spouse
Q51029,Q496421,child
Q5103939,Q491143,child
Q5103939,Q6362185,spouse
Q5103979,Q486369,father
Q5116286,Q488446,father
Q517090,Q1478446,spouse
Q5354230,Q311219,father
Q5354230,Q6153255,spouse
Q5354230,Q73403,sibling
Q5354467,Q496004,sibling
Q5356443,Q464569,spouse
Q54348,Q368516,spouse
Q54868073,Q263732,child
Q54981984,Q402179,spouse
Q55616008,Q456408,spouse
Q55729811,Q485640,child
Q55730170,Q6791544,father
Q55733169,Q626113,spouse
Q55734052,Q490114,father
Q55734183,Q483957,sibling
Q55736005,Q626461,spouse
Q56226,Q263732,mother
Q56226,Q317824,sibling
Q56226,Q385795,sibling
Q56226,Q705218,sibling
Q56236767,Q487876,father
Q562683,Q296734,father
Q562683,Q4307062,sibling
Q562683,Q486569,sibling
Q562837,Q269537,spouse
Q5636447,Q626249,sibling
Q56435719,Q468467,father
Q56691163,Q495069,sibling
Q56698261,Q84040,child
Q56804332,Q496509,father
Q56804591,Q496509,spouse
Q56804639,Q496509,father
Q56804778,Q496509,child
Q56812422,Q625821,father
Q56818863,Q625944,spouse
Q56825125,Q489036,child
Q56833272,Q356675,spouse
Q56833518,Q356675,father
Q56839751,Q211648,father
Q56839869,Q211648,father
Q56884240,Q494097,child
Q57027438,Q494851,child
Q57027600,Q494851,child
Q57208109,Q3890747,spouse
Q57599081,Q486959,sibling
Q57599098,Q486959,sibling
Q58476561,Q489036,sibling
Q58862215,Q6514388,father
Q5951894,Q1587695,father
Q61100362,Q484674,father
Q61101096,Q626438,child
Q6153255,Q5354230,spouse
Q6153892,Q456182,spouse
Q616590,Q3659507,spouse
Q6180265,Q21060180,child
Q6204338,Q21710417,spouse
Q6204338,Q21710516,grandfather
Q6204338,Q21710535,child
Q6204338,Q21710537,child
Q6204338,Q6204475,father
Q6204475,Q6204338,child
Q623495,Q12610338,sibling
Q623495,Q3565110,father
Q623521,Q12588577,child
Q623627,Q496413,spouse
Q623681,Q130411748,sibling
Q623681,Q16098012,father
Q623737,Q16080552,spouse
Q623803,Q6408770,sibling
Q623856,Q10855915,spouse
Q624109,Q11266502,sibling
Q624109,Q12611590,sibling
Q624109,Q12611701,sibling
Q624109,Q12613866,spouse
Q624109,Q12625359,father
Q624109,Q494412,father
Q624135,Q624195,spouse
Q624195,Q624135,spouse
Q624211,Q112550277,spouse
Q624253,Q165210,spouse
Q624322,Q12588765,father
Q624351,Q24861439,child
Q624392,Q16092482,child
Q624392,Q16176332,child
Q624392,Q466457,child
Q624394,Q28700176,spouse
Q624401,Q11682535,sibling
Q624445,Q65269472,father
Q624445,Q85011425,child
Q624491,Q3140101,grandchild
Q624515,Q12610079,child
Q624523,Q122848289,spouse
Q624531,Q97338773,child
Q624651,Q11286457,spouse
Q624651,Q468467,father
Q624795,Q115773813,child
Q624795,Q134411657,father
Q624795,Q134411774,father
Q624924,Q12611579,spouse
Q625096,Q12596619,spouse
Q625096,Q12610846,child
Q625144,Q12583172,spouse
Q625144,Q6362185,child
Q625199,Q12613912,spouse
Q625212,Q12586510,father
Q625212,Q131933141,father
Q625212,Q16080136,sibling
Q625257,Q118127099,spouse
Q625257,Q12625359,sibling
Q625257,Q12625503,father
Q625257,Q16177593,father
Q625257,Q16179644,sibling
Q625257,Q23939885,child
Q625291,Q16174033,mother
Q625291,Q18648443,spouse
Q625291,Q19941294,sibling
Q625389,Q12610215,child
Q625389,Q12610274,child
Q625389,Q192049,spouse
Q625471,Q489462,spouse
Q625487,Q110941547,father
Q625487,Q14342,sibling
Q625489,Q7451482,sibling
Q625534,Q31179301,father
Q625555,Q12625854,spouse
Q625650,Q10855821,sibling
Q625650,Q12588105,mother
Q625650,Q12590443,child
Q625650,Q16219820,child
Q625650,Q242651,spouse
Q625732,Q483926,sibling
Q625766,Q493021,spouse
Q625775,Q496237,spouse
Q625786,Q12623986,spouse
Q625786,Q2598021,child
Q625788,Q17503492,sibling
Q625821,Q56812422,child
Q625870,Q489036,spouse
Q625938,Q121077856,child
Q625938,Q16092153,child
Q625944,Q56818863,spouse
Q626073,Q107109753,child
Q626073,Q232285,spouse
Q626074,Q10457763,sibling
Q626092,Q16172944,father
Q626113,Q18642273,child
Q626113,Q18648498,child
Q626113,Q55733169,spouse
Q626249,Q5636447,sibling
Q626273,Q12595795,spouse
Q626273,Q6781815,child
Q626438,Q484380,child
Q626438,Q61101096,father
Q626461,Q12604162,father
Q626461,Q14304,sibling
Q626461,Q16180284,sibling
Q626461,Q3382230,sibling
Q626461,Q378483,father
Q626461,Q483467,sibling
Q626461,Q485556,sibling
Q626461,Q488670,sibling
Q626461,Q488700,sibling
Q626461,Q498707,sibling
Q626461,Q55736005,spouse
Q626466,Q488697,spouse
Q626466,Q497438,child
Q626466,Q497473,child
Q626466,Q8512736,child
Q626466,Q8512743,child
Q626466,Q8512750,child
Q626491,Q153778,sibling
Q626491,Q391400,sibling
Q626601,Q136696989,sibling
Q626601,Q6811775,sibling
Q626615,Q7218065,spouse
Q626644,Q12587966,father
Q626667,Q134367214,spouse
Q626667,Q134367247,child
Q626718,Q12588638,spouse
Q626739,Q134302698,spouse
Q626819,Q483842,grandchild
Q626991,Q13646009,sibling
Q6312600,Q12617042,spouse
Q6312637,Q19854570,father
Q6312662,Q16189313,spouse
Q6362185,Q12583172,mother
Q6362185,Q491143,child
Q6362185,Q5103939,spouse
Q6362185,Q625144,mother
Q6362187,Q1953626,spouse
Q6362253,Q6362264,sibling
Q6362264,Q6362253,sibling
Q63964279,Q484840,child
Q63964711,Q484840,spouse
Q6408371,Q493455,spouse
Q6408412,Q3196768,spouse
Q6408543,Q15788028,sibling
Q6408647,Q110123936,child
Q6408665,Q12587265,child
Q6408770,Q623803,sibling
Q6408801,Q19561180,spouse
Q6408844,Q6956410,spouse
Q6408870,Q134571070,spouse
Q6408879,Q16179683,spouse
Q6408881,Q1541644,spouse
Q6408910,Q12611449,spouse
Q6408910,Q12966451,child
Q6408910,Q16175060,spouse
Q6408910,Q16179779,child
Q6409055,Q13432221,mother
Q6409334,Q7219738,sibling
Q6409364,Q15711594,child
Q6409680,Q16586322,child
Q6409686,Q12589306,sibling
Q6411575,Q465248,spouse
Q6420543,Q44260,sibling
Q6424117,Q12612583,spouse
Q6425991,Q26701451,mother
Q6430820,Q495000,child
Q6450322,Q21824806,child
Q6489872,Q2644834,spouse
Q64918664,Q380681,father
Q6513165,Q122394708,sibling
Q6513165,Q122394710,spouse
Q6513165,Q122394747,child
Q6513165,Q122394748,child
Q6513165,Q12612933,child
Q6513165,Q12612970,child
Q6513165,Q16090742,child
Q6513165,Q16090812,child
Q6513549,Q16091140,sibling
Q6513744,Q16175314,sibling
Q6514127,Q12612933,father
Q6514303,Q12612841,father
Q6514303,Q3572265,child
Q6514388,Q58862215,child
Q6515011,Q12611257,sibling
Q6515011,Q14320941,spouse
Q6515185,Q492802,sibling
Q6515558,Q21059881,spouse
Q65269472,Q624445,child
Q65296762,Q493995,child
Q65296920,Q433295,mother
Q65296920,Q493995,father
Q6610677,Q16080384,spouse
Q6617014,Q12616843,child
Q6617244,Q12610256,spouse
Q6617244,Q99767258,father
Q66362758,Q488106,sibling
Q6652730,Q12618537,spouse
Q6652976,Q16080982,spouse
Q66685126,Q887285,sibling
Q6668980,Q272236,sibling
Q6682314,Q471695,spouse
Q6685856,Q110124576,sibling
Q6685856,Q110125531,mother
Q6685856,Q110125609,sibling
Q6694102,Q491095,spouse
Q6699528,Q257425,spouse
Q6711063,Q16082942,spouse
Q6711159,Q12834850,spouse
Q6732223,Q12583935,child
Q6732223,Q12626230,child
Q6732223,Q485587,spouse
Q6743293,Q14304,child
Q6743293,Q16180284,child
Q6743293,Q3382230,child
Q6743293,Q378483,spouse
Q6743293,Q483467,child
Q6743293,Q485556,child
Q6743293,Q488670,child
Q6743293,Q488700,child
Q6745643,Q10855822,spouse
Q6747187,Q16091539,child
Q6747187,Q16183695,spouse
Q6747264,Q12615792,spouse
Q6747264,Q18013379,sibling
Q6747264,Q483517,father
Q6762628,Q10665,spouse
Q6776261,Q16177384,spouse
Q6776454,Q12584207,spouse
Q6779816,Q257425,spouse
Q6781666,Q12601473,spouse
Q6781730,Q12612843,spouse
Q6781815,Q12595795,mother
Q6781815,Q626273,father
Q6781815,Q626273,mother
Q6781992,Q368852,spouse
Q6783126,Q133850234,sibling
Q6783126,Q16090786,sibling
Q6783126,Q18648469,mother
Q6783126,Q496842,mother
Q6783577,Q3786443,spouse
Q6784013,Q12612480,spouse
Q6784089,Q12596724,child
Q6784157,Q14356,child
Q6784157,Q20855604,child
Q6784157,Q20855812,child
Q6784197,Q134294455,spouse
Q6788865,Q7517270,mother
Q6791544,Q12597529,child
Q6791544,Q12597562,sibling
Q6791544,Q55730170,child
Q6793594,Q493659,spouse
Q6793625,Q24859999,sibling
Q6793625,Q469387,mother
Q6793625,Q493692,sibling
Q6796230,Q485911,spouse
Q6811459,Q483117,spouse
Q6811775,Q136696989,sibling
Q6811775,Q626601,sibling
Q6818945,Q483927,spouse
Q6822380,Q483621,spouse
Q6849027,Q3156766,sibling
Q6853641,Q489681,spouse
Q6853912,Q483255,child
Q6853912,Q486251,child
Q6862536,Q1075512,spouse
Q69018456,Q1990369,spouse
Q6956410,Q6408844,spouse
Q699503,Q334312,father
Q699503,Q469387,sibling
Q699503,Q485587,sibling
Q699503,Q493659,sibling
Q699503,Q699513,sibling
Q699513,Q334312,father
Q699513,Q469387,sibling
Q699513,Q485587,sibling
Q699513,Q493659,sibling
Q699513,Q699503,sibling
Q699513,Q709498,child
Q702565,Q16176680,child
Q702565,Q41117,spouse
Q702565,Q710805,child
Q702565,Q76650924,child
Q704280,Q368892,child
Q704283,Q16173605,sibling
Q704283,Q712012,father
Q704568,Q334312,child
Q705212,Q10665,spouse
Q705218,Q10665,mother
Q705218,Q317824,sibling
Q705218,Q385795,sibling
Q705218,Q4330912,sibling
Q705218,Q56226,sibling
Q705218,Q714481,mother
Q709498,Q493692,spouse
Q709498,Q699513,father
Q710805,Q271067,sibling
Q710805,Q702565,mother
Q710805,Q840719,sibling
Q712012,Q704283,child
Q7137845,Q3703166,spouse
Q714481,Q705218,child
Q7204839,Q484522,sibling
Q7218065,Q626615,spouse
Q7219738,Q485578,father
Q7219738,Q493692,spouse
Q7219738,Q6409334,sibling
Q73403,Q5354230,sibling
Q7385336,Q843300,sibling
Q7385485,Q332998,sibling
Q7451482,Q625489,sibling
Q7517270,Q6788865,child
Q76650924,Q702565,mother
Q77554529,Q271067,mother
Q77554529,Q496004,father
Q77555945,Q271067,mother
Q77555945,Q496004,father
Q77841796,Q485218,father
Q7848255,Q138048,sibling
Q7848255,Q390099,mother
Q7848332,Q138048,sibling
Q7848332,Q390099,mother
Q7848947,Q246167,spouse
Q7849225,Q246167,father
Q79611370,Q310971,sibling
Q79611370,Q346751,father
Q79904342,Q490192,spouse
Q8053456,Q489737,father
Q83945397,Q2315679,sibling
Q84040,Q12619846,father
Q84040,Q16219820,spouse
Q84040,Q31178662,sibling
Q84040,Q56698261,father
Q840719,Q10665,sibling
Q840719,Q271067,sibling
Q840719,Q41117,father
Q840719,Q463949,father
Q840719,Q463949,mother
Q840719,Q710805,sibling
Q841146,Q17304817,child
Q842800,Q15125241,spouse
Q843300,Q7385336,sibling
Q85011425,Q624445,father
Q8512697,Q488500,sibling
Q8512697,Q488666,father
Q8512711,Q488500,sibling
Q8512711,Q488666,father
Q8512736,Q626466,mother
Q8512743,Q626466,mother
Q8512750,Q488697,father
Q8512750,Q626466,mother
Q8512758,Q378483,sibling
Q8512766,Q378483,sibling
Q85984120,Q488697,grandfather
Q887285,Q66685126,sibling
Q900563,Q492284,spouse
Q9006285,Q237673,spouse
Q907913,Q111939793,father
Q92684865,Q168567,spouse
Q9326975,Q491580,spouse
Q94187,Q483892,spouse
Q94489565,Q465489,mother
Q97216379,Q495980,child
Q97338773,Q624531,father
Q99767258,Q6617244,child
